                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99868,                  3.966,                 1.0924,                  0.005,                      1,                0.68856,                0.44066,                0.64096,                 2.8763,                0.98809,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.0383,                 3.0395,                 1.0681,                  0.005,                      1,                0.70097,                 0.5342,                 0.9049,                 2.8957,                 1.1287,             0.00017644,             0.00017644,             0.00017644
                      3,                 1.1359,                 2.8266,                 1.1381,                  0.005,                      1,                0.68011,                0.48002,                0.95243,                 2.8552,                 1.1887,             0.00026891,             0.00026891,             0.00026891
                      4,                 1.0329,                  4.293,                 1.0587,                  0.005,                      1,                0.73769,                0.47687,                 1.1992,                    2.6,                  1.494,             0.00035743,             0.00035743,             0.00035743
                      5,                 1.0516,                 2.6995,                 1.0308,                  0.005,                      1,                0.70726,                0.44733,                 1.1954,                 2.8699,                 1.4887,             0.00044198,             0.00044198,             0.00044198
                      6,                0.96642,                 2.0293,                 1.0325,                  0.005,                      1,                0.51545,                0.37336,                 1.0624,                 2.9108,                 1.4219,             0.00052258,             0.00052258,             0.00052258
                      7,                 1.2366,                 2.5362,                 1.1413,                0.00417,                0.83333,                0.53267,                0.34033,                 1.0552,                 2.8876,                 1.4682,             0.00059922,             0.00059922,             0.00059922
                      8,                 1.0563,                 2.1014,                 1.1469,                0.00978,                0.66667,                0.56541,                0.37457,                 1.1187,                 2.7845,                 1.5688,             0.00067189,             0.00067189,             0.00067189
                      9,                 1.0328,                 2.2471,                 1.1141,                      1,                0.48973,                 0.5161,                0.29271,                 1.2282,                 2.7021,                  1.735,             0.00074061,             0.00074061,             0.00074061
                     10,                 1.1208,                 2.3008,                 1.0968,                0.43209,                0.16667,                0.27595,                0.20497,                 1.3398,                  2.888,                 1.7825,             0.00080536,             0.00080536,             0.00080536
                     11,                0.98688,                 1.7626,                  1.046,                 0.6824,                0.16667,                0.23455,                0.18465,                 1.1946,                 2.8358,                 1.7695,             0.00086616,             0.00086616,             0.00086616
                     12,                0.98918,                 2.3401,                 1.0892,                0.26357,                0.16667,                0.33403,                0.23065,                 1.2512,                 2.8613,                 1.8895,               0.000923,               0.000923,               0.000923
